,Review,Rating
0,they don't provide return and refund policy for Honor phones..my concern is my phone is overheating. they checked it but they set their limit of over heating which is 50 degree C. but mobile is overheating around 39-40 degree C. this temperature is also not safe to use phones. So request you people don't BUY HONOR smartphones.,1
1,"third class camera. camera pics look like 2mp china camera.
picture quality poor
battery pickup half day
rear or front both camera are low quality.
Flipkart first check camera quality. company say its 13mp camera but its work like 2mp camera.",1
2,Jio4gvoice not supporting as well as default dialer has no option for video call... Battery draining fast and camera quality is extremely bad... Overall not a good mobile...,1
3,"worst product I ever had...
dual camera is only for the name sake...photos are just similar to a Micromax kind of phone. Telling 13 MP but not even 2 MP. Instead of giving dual cameras they should have given a single camera with good quality lens...
A brand like honor from huwaei thought it will be a great phone but really disappointed with its performance...
The hype created by its other phone honor 9 lite thought it will be a similar to that phone but just an worst phone ever...
In same pri...",1
4,please better go for good brands!!worst brand look wise good no quality,1
5,"Thank you, you have returned the product Honor 7A. But my problem is still the second product also having overheating problem. Can you refund my money? This is my humble request so that I can buy a new phone of different company.",1
6,"picture with flash fully yellow on human skin. just like person has applied haldi on the body.


waste of money
i got to know after return date has gone.
i wanted to gift someone but i ld not able to now.


waste of money don't buy this phone unless u wanna like dulha ya dulhan on haldi ceremony.

waste waste waste

PATHETIC CAMERA. no proper focus no sharpness nothing at all my MI note 4 works way better than this...


if any one have any solution plz lemme know

feeling so stupid by putting...",1
7,mobile is not good seller is not ready to refund money to me i have purchased vaste mobile this is not varthof rs 8k i am somany times contacted flipkart customer care they are not listening my words i am requting for refund my money they are simple saying seller is not redy for rwfund money guys please don't buy any product in flipkart guys buy mobile in offline,1
8,"after usiing more than 1 month....
this phone is looking very nice,
but body of the phone is not hardy as wel as building quality issue.
touch is little bid slow
finger print sensor is strong as wel as face unlock also.
back camera is good but not up to the mark, it's providing natural image. not over exposes
front camera also same. if you are selfie lover don't buy it. it's providing natural images.
display is average
this phone has heating issue. when you watch video, talking with someone o...",1
9,"worrest mobile dont buy,₹4k micromax is better &
its not a worth for 8999/-.
same price better mobile available RealMe2",1
10,I am happy to purchasing to honor A. Honor is a best brand and honor7A and his front flash camera is excellent.,1
11,"The bettery back is poor. And it slows a lot. Dont buy this phone. And flipkart return policy have got customer unfriendly, specually the jevees so called engineer. Who did not know simple things like how to back up contactsm and he was responsible for checking my device. What a joke. Arround 9k you could find many better devices like redmi note 5, realme 2,infinix.dont buy this laggy phone.",1
12,"I am giving this rating honestly, i have a redmi note 5 and i recently bought this new mobile but i found it completely a useless product.the camera quality is ok but not better than mi note 5 .i just wanted to try some other brand so i chose honor since one of my friends suggested it.the user interface is not at all good and the themes are worst than a mobile which costs around 5k,i just wanted to return the product but they told that they wouldn't give any refund but i am completely dissati...",1
13,"Worst Worst Worst!!!

Don't go for it, Honest Review!!

Camera being 13mp gives quality like 5mp or 8mp, battery so far is good after a day use, phone performance is worst than 2/16GB being 3/32GB, seems like Honor quality has been compromised (majorly in camera). Worst camera and poor performance phone from Honor I've ever encountered with. Everything else apart from Camera and Performance is good. Build Quality is nice, Speaker is great. But if you're looking for a good camera phone with a...",1
14,"Sir I am not happy for this product and your policy. Bcoz this product quality is very low.i want to purchase honour 9 lite. I want to refund my money but these policies are very poor.... Not proper help me. I can't found my refund. Sir, Please help me",1
15,"DON'T BUY THIS PHONE.
Advantages :

1)camera quality good in light.
2)portrait mode is really good.
3)face unlocking is good enough.
4)light weight.

Disadvantages :

1) well screen is not so good. So graphics is bad at this price.240dpi is horrible dude.
2) Battery backup is not so good. Heavy use like (playing PUBG for 2 hrs battery 70% to 15-10%) normally u need to charge this phone two times in a day for continuous use... Otherwise for light use u need to charge it 1 time per day.
3)ca...",1
16,"camera quality very poor
very average performance for the given price
case and covers not available for long days
it is online only product.. so you won't get any support in market.. not satisfied with this phone..",1
17,"Didn't like the Phone. Very lite in weight. Doesn't look like a 10K phone (I bought it for 8999) at all. Pictures clarity is not that good.
Flipkart promised to deliver in one day after order, But delivered late by two days. The courier service is worse.",1
18,"So its started with my need to have a 2 sim cell with good battery back up, as I already used honor 4x so its like a trust with this brand. My expectations are :- 1)4g cell. 2)With god battery backup 3) with good camera and sound. As per my expectations this phone is not good at all if battery is concernd. Its looses 1% in every 2 minutes while using net i.e browsing, watching movies online or you tube videos, i m also using MI 3s prime since last 2 years in which battery drops @rate of 1% in...",1
19,"Brothers and sisters.....according price its enough I give it 7rating out of 10rating...this is for new buyyers in this price this is the best phone..light weight,face unlock perfect,camera is not as much we feel better but its ok....according to 9000 they designed this mobile for this price only...just close u r eyes and buy...this is best for confusers...who not dont know to buy what they want....go away",1
20,I thought it will be too good under 9k. Almost perfect but the mobile becomes hot during charge and if I surf net.. So not good...,1
21,"Camera quality is poor. look as a past 3 Year China camara quality. I think Honor forgot that now 2018 , Other wise Honor 9 lite camera is too good, go for it...",1
22,"very very bad experience for flipkart
also honor 7A mobile very bad mobile,
phone hangin problem & battery short time down.
so I request all mobile used member plz don't purches honor 7A mobile
also flipkart customer care member not satisfy reply,
my moblil (honor7A) hanging problem SO I inform to flipkart & request change mobile.
but flipkart not satisfy answer.
so all my mobile user don't order for honor 7a ,is a 3rd class Mobile ,also flipkart very bad service for mobile...",1
23,"the mobile is damn good right now, haven't used much, after one week still I will be giving the review of this mobile, right now the camera is very good with dual camera with the best price",1
24,WORST CAMERA I HAVE SEEN IN MY LIFE.IT CAPTURES SELFIES WHICH ARE SO DULL AND DIRTY THAT U CAN LITERALLY BE DEPRESSED OF UR LOOKS.I WAS LITERALLY DEPRESSED FOR 2 YEARS BY THIS SELFIE CAMERA.THE SCREEN IS VERY BAD FOR EYES .REST IS AWESOME.,1
25,battery backup is very bad .... don't buy....,1
26,"Worst Product ever. Nothing is good in this phone. Battery backup, camera display all disappointed
me. And Flipkart is not returning so i replaced it.
Don't bye this product Redmi note 5 is 10 times better than this product.",1
27,Not good battery not backup and slowly work,1
28,direct video calling not available,1
29,Worst phone ever. Battery charging time 6-7hours and draining time 5 hours with 100% charge. Camera quality is also poor. Requested for return but a massage came that seller wants to talk to me but no call came from seller. A day after the return request has been rejected by seller. Feeling cheated. Recommend not to buy. Flipkart do not take any responsibility. They just sell item from their app and take profit. If your product is good then then you are lucky and if not good then you are loos...,1
30,Very poor battery back-up,1
31,very bad camera and very slow charging take full charge 5 hours I never see this type of mobile totally I'm disappointed you,1
32,"very worst experience...
this phn has very much issues like..
battery draining
battery very late charging
over heating
front camera worst..
i want my refund..even thoungh i replaced this bad phone
plzz refund me",1
33,"Camera was not so good and unclear.I can't able to return it as well as I took it for exchange...

I can I do now .......",1
34,battery performance is wrost & dual camera quality also not good. over all mobile performance is not good.waste of money,1
35,"the worst mobile company in India. display quality is not good. internet speed is zero over both WiFi and mobile data. heating issue .

video calling us not available iF you are using ' Jio sim'

and the worst part Flipkart does not take back the product. they just offer to replace the device with a new device. ....

if u use video calling on other volte supported mobiles never exchange your device with any Honor/Huawei devices... this is the worst experience as I am not able to use Jio vi...",1
